example_id,open_date,open_time,close_time,side,entry_price,exit_price,net_pnl,setup_valid_normalized,quality_bucket,primary_valid_reason,primary_invalid_reason,entry_timestamp_raw,entry_anchor_timestamp,exit_anchor_timestamp,matched_to_bar_data,bars_in_window
trade-example-0102,2025-04-16,09:36:29 EDT,09:45:59 EDT,long,18636.5,18607.0,-594.0,yes,valid,,,2025-04-16T09:36:29-04:00,2025-04-16T09:36:00-04:00,2025-04-16T09:45:30-04:00,True,37
trade-example-0103,2025-04-16,09:53:00 EDT,10:04:00 EDT,short,18557.5,18540.0,346.0,yes,valid,,,2025-04-16T09:53:00-04:00,2025-04-16T09:53:00-04:00,2025-04-16T10:04:00-04:00,True,37
trade-example-0104,2025-04-17,09:32:59 EDT,09:50:59 EDT,short,18434.25,18476.0,-839.0,yes,valid,,,2025-04-17T09:32:59-04:00,2025-04-17T09:32:30-04:00,2025-04-17T09:50:30-04:00,True,30
trade-example-0105,2025-04-17,10:03:29 EDT,10:40:59 EDT,short,18436.75,18319.75,2336.0,yes,valid,,,2025-04-17T10:03:29-04:00,2025-04-17T10:03:00-04:00,2025-04-17T10:40:30-04:00,True,37
trade-example-0106,2025-04-21,09:33:00 EDT,09:36:00 EDT,long,18149.5,18121.25,-569.0,no,avoid,,,2025-04-21T09:33:00-04:00,2025-04-21T09:33:00-04:00,2025-04-21T09:36:00-04:00,True,31
trade-example-0107,2025-04-21,09:44:30 EDT,10:36:30 EDT,short,18079.75,17958.25,2426.0,yes,valid,,,2025-04-21T09:44:30-04:00,2025-04-21T09:44:30-04:00,2025-04-21T10:36:30-04:00,True,37
trade-example-0108,2025-04-22,09:32:30 EDT,09:35:00 EDT,long,18143.0,18111.25,-639.0,no,avoid,,,2025-04-22T09:32:30-04:00,2025-04-22T09:32:30-04:00,2025-04-22T09:35:00-04:00,True,30
trade-example-0109,2025-04-23,09:33:00 EDT,09:36:00 EDT,long,18985.5,18954.25,-629.0,no,avoid,,,2025-04-23T09:33:00-04:00,2025-04-23T09:33:00-04:00,2025-04-23T09:36:00-04:00,True,31
trade-example-0110,2025-04-23,09:41:30 EDT,09:50:30 EDT,long,19028.75,19072.0,861.0,yes,valid,,,2025-04-23T09:41:30-04:00,2025-04-23T09:41:30-04:00,2025-04-23T09:50:30-04:00,True,37
trade-example-0111,2025-04-23,10:24:00 EDT,10:40:00 EDT,long,19060.0,19131.75,1431.0,yes,valid,,,2025-04-23T10:24:00-04:00,2025-04-23T10:24:00-04:00,2025-04-23T10:40:00-04:00,True,37
trade-example-0112,2025-04-24,09:39:30 EDT,10:44:00 EDT,long,18901.0,19129.75,4571.0,yes,valid,,,2025-04-24T09:39:30-04:00,2025-04-24T09:39:30-04:00,2025-04-24T10:44:00-04:00,True,37
trade-example-0113,2025-04-25,09:32:00 EDT,09:36:00 EDT,short,19290.75,19337.25,-934.0,no,avoid,,,2025-04-25T09:32:00-04:00,2025-04-25T09:32:00-04:00,2025-04-25T09:36:00-04:00,True,29
trade-example-0114,2025-04-25,09:48:00 EDT,10:01:00 EDT,short,19275.5,19317.25,-839.0,yes,valid,,,2025-04-25T09:48:00-04:00,2025-04-25T09:48:00-04:00,2025-04-25T10:01:00-04:00,True,37
trade-example-0115,2025-04-25,10:07:30 EDT,10:18:30 EDT,long,19347.25,19380.75,666.0,yes,valid,,,2025-04-25T10:07:30-04:00,2025-04-25T10:07:30-04:00,2025-04-25T10:18:30-04:00,True,37
trade-example-0116,2025-04-25,10:31:00 EDT,10:39:00 EDT,short,19262.75,19318.5,-1119.0,yes,valid,,,2025-04-25T10:31:00-04:00,2025-04-25T10:31:00-04:00,2025-04-25T10:39:00-04:00,True,37
trade-example-0117,2025-04-28,09:33:00 EDT,09:44:00 EDT,short,19538.5,19580.75,-849.0,no,avoid,,,2025-04-28T09:33:00-04:00,2025-04-28T09:33:00-04:00,2025-04-28T09:44:00-04:00,True,31
trade-example-0118,2025-04-28,10:27:30 EDT,11:33:00 EDT,short,19493.0,19348.0,2896.0,yes,valid,,,2025-04-28T10:27:30-04:00,2025-04-28T10:27:30-04:00,2025-04-28T11:30:00-04:00,True,37
trade-example-0119,2025-04-29,09:33:00 EDT,09:38:00 EDT,long,19470.25,19423.75,-934.0,no,avoid,,,2025-04-29T09:33:00-04:00,2025-04-29T09:33:00-04:00,2025-04-29T09:38:00-04:00,True,31
trade-example-0120,2025-04-29,09:42:00 EDT,10:16:00 EDT,long,19457.75,19558.25,2006.0,yes,valid,,,2025-04-29T09:42:00-04:00,2025-04-29T09:42:00-04:00,2025-04-29T10:16:00-04:00,True,37
trade-example-0121,2025-05-01,09:35:00 EDT,09:37:00 EDT,short,19938.0,19955.5,-354.0,no,avoid,,,2025-05-01T09:35:00-04:00,2025-05-01T09:35:00-04:00,2025-05-01T09:37:00-04:00,True,35
trade-example-0122,2025-05-01,09:39:00 EDT,09:48:00 EDT,short,19927.0,19968.75,-839.0,no,avoid,,,2025-05-01T09:39:00-04:00,2025-05-01T09:39:00-04:00,2025-05-01T09:48:00-04:00,True,37
trade-example-0123,2025-05-01,09:55:00 EDT,10:14:00 EDT,short,19943.5,19922.75,411.0,yes,valid,,,2025-05-01T09:55:00-04:00,2025-05-01T09:55:00-04:00,2025-05-01T10:14:00-04:00,True,37
trade-example-0124,2025-05-01,10:29:00 EDT,10:32:00 EDT,long,20003.0,19984.5,-374.0,no,avoid,,,2025-05-01T10:29:00-04:00,2025-05-01T10:29:00-04:00,2025-05-01T10:32:00-04:00,True,37
